TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
8.78521e+00	7.76274e+03	2.32457e+14	7.75220e+01	2.87055e+26	8.96743e+01	3.99952e+28	8.95809e+01	1.36163e-01	
8.78570e+00	7.77064e+03	2.32694e+14	8.95809e+01	4.02822e+28	1.10182e+02	2.01966e+26	8.96741e+01	1.35964e-01	
8.78648e+00	7.78316e+03	2.33070e+14	7.74280e+01	2.87403e+26	8.96741e+01	4.04842e+28	8.95811e+01	1.35603e-01	
8.78655e+00	7.78434e+03	2.33105e+14	8.95811e+01	4.07716e+28	1.10478e+02	2.01426e+26	8.96741e+01	1.35167e-01	
8.78741e+00	7.79815e+03	2.33519e+14	8.96741e+01	4.09730e+28	1.10775e+02	2.00886e+26	8.97673e+01	1.35126e-01	
8.78777e+00	7.80396e+03	2.33693e+14	7.73354e+01	2.87748e+26	8.97673e+01	4.11739e+28	8.96741e+01	1.34564e-01	
8.78827e+00	7.81208e+03	2.33936e+14	8.96741e+01	4.14617e+28	1.11072e+02	2.00348e+26	8.97672e+01	1.34363e-01	
8.78909e+00	7.82517e+03	2.34329e+14	7.72442e+01	2.88087e+26	8.97672e+01	4.16620e+28	8.96742e+01	1.34000e-01	
8.78915e+00	7.82614e+03	2.34358e+14	8.96742e+01	4.19501e+28	1.11371e+02	1.99810e+26	8.97671e+01	1.33552e-01	
8.79002e+00	7.84029e+03	2.34782e+14	8.97671e+01	4.21499e+28	1.11671e+02	1.99274e+26	8.98601e+01	1.33519e-01	
8.79042e+00	7.84676e+03	2.34976e+14	7.71545e+01	2.88422e+26	8.98601e+01	4.23492e+28	8.97671e+01	1.32954e-01	
8.79091e+00	7.85457e+03	2.35210e+14	8.97671e+01	4.26376e+28	1.11971e+02	1.98739e+26	8.98600e+01	1.32734e-01	
8.79179e+00	7.86877e+03	2.35636e+14	7.70661e+01	2.88753e+26	8.98600e+01	4.28363e+28	8.97673e+01	1.32387e-01	
8.79180e+00	7.86898e+03	2.35642e+14	8.97673e+01	4.31251e+28	1.12273e+02	1.98205e+26	8.98599e+01	1.31910e-01	
8.79270e+00	7.88348e+03	2.36077e+14	8.98599e+01	4.33233e+28	1.12576e+02	1.97672e+26	8.99527e+01	1.31902e-01	
8.79317e+00	7.89116e+03	2.36307e+14	7.69791e+01	2.89079e+26	8.99527e+01	4.35210e+28	8.98600e+01	1.31335e-01	
8.79360e+00	7.89811e+03	2.36515e+14	8.98600e+01	4.38101e+28	1.12879e+02	1.97141e+26	8.99526e+01	1.31079e-01	
8.79452e+00	7.91287e+03	2.36958e+14	8.99526e+01	4.40072e+28	1.13184e+02	1.96610e+26	9.00454e+01	1.30849e-01	
8.79459e+00	7.91399e+03	2.36991e+14	7.68936e+01	2.89401e+26	9.00454e+01	4.42038e+28	8.99526e+01	1.30279e-01	
8.79543e+00	7.92771e+03	2.37403e+14	8.99526e+01	4.44932e+28	1.13489e+02	1.96081e+26	9.00452e+01	1.30242e-01	
8.79602e+00	7.93722e+03	2.37688e+14	7.68095e+01	2.89718e+26	9.00452e+01	4.46893e+28	8.99526e+01	1.29709e-01	
8.79636e+00	7.94269e+03	2.37852e+14	8.99526e+01	4.49790e+28	1.13796e+02	1.95553e+26	9.00451e+01	1.29399e-01	
8.79729e+00	7.95777e+03	2.38304e+14	9.00451e+01	4.51746e+28	1.14103e+02	1.95026e+26	9.01376e+01	1.29220e-01	
8.79748e+00	7.96087e+03	2.38397e+14	7.67268e+01	2.90030e+26	9.01376e+01	4.53696e+28	9.00450e+01	1.28649e-01	
